position_start_x,position_start_y,position_end_x,position_end_y,type
3.1843994,36.7159475,3.1843493,36.7160064
attitude,pitch,yaw,roll,lon,lat
9.59,0.008364652283489704,0.23085591197013855,0.0030046759638935328,3.1843994,36.7159475
9.73,-0.062315650284290314,0.4753985106945038,0.004291168879717588,3.1843996,36.7159474
9.81,-0.11865190416574478,0.540929913520813,-0.0056786020286381245,3.1844001,36.7159479
9.88,-0.13432754576206207,0.4708360433578491,0.005433698184788227,3.1844017,36.71595
10.01,-0.1441507190465927,0.47830432653427124,0.006721813231706619,3.184408,36.7159588
10.07,-0.21666789054870605,0.4876745939254761,-0.0023691465612500906,3.1844124,36.715965
10.21,-0.23824992775917053,0.4896005094051361,-0.0009080715826712549,3.1844243,36.7159823
10.47,-0.2565385401248932,0.48431068658828735,0.0010228707687929273,3.1844483,36.7160181
10.65,-0.2846950590610504,0.48764568567276,-0.0005546011379919946,3.184467,36.7160462
10.92,-0.2951868176460266,0.4830138683319092,0.0041120327077806,3.1844992,36.7160946
11.1,-0.29598888754844666,0.49150919914245605,-0.001883260440081358,3.1845224,36.7161295
11.36,-0.30388709902763367,0.49075600504875183,-0.0038667849730700254,3.1845584,36.7161842
11.53,-0.3078978657722473,0.48552000522613525,0.002055724849924445,3.1845829,36.7162216
11.71,-0.3054226338863373,0.485673189163208,-0.0021872096695005894,3.1846079,36.7162596
11.98,-0.3118405342102051,0.49008429050445557,-0.0024213127326220274,3.1846454,36.7163171
12.15,-0.31015512347221375,0.4872346818447113,0.001113683683797717,3.1846705,36.716356
12.43,-0.31203556060791016,0.4885905981063843,-0.0009345494327135384,3.1847086,36.7164146
12.6,-0.31399062275886536,0.48368799686431885,0.0017081040423363447,3.1847342,36.7164537
12.79,-0.24969664216041565,0.38612034916877747,-0.016338316723704338,3.1847598,36.7164932
12.93,-0.11137061566114426,-0.39038434624671936,0.09038063883781433,3.1847817,36.7165301
12.97,-0.0782545804977417,-1.0679417848587036,0.05363905429840088,3.1848011,36.7165713
12.98,-0.12152910232543945,-1.2315772771835327,-0.04910479485988617,3.1848017,36.7165889
12.99,-0.17376123368740082,-1.2397847175598145,0.0150793781504035,3.1847917,36.716599
13.01,-0.24504609405994415,-1.2361516952514648,-0.011793377809226513,3.184773,36.7166088
13.05,-0.2481500208377838,-1.234022855758667,-0.02611696533858776,3.1847444,36.7166188
13.09,-0.27861273288726807,-1.2375322580337524,-0.019233597442507744,3.1847093,36.716628
13.12,-0.2939995229244232,-1.23236083984375,-0.019252125173807144,3.1846691,36.7166373
13.18,-0.29671597480773926,-1.2319722175598145,-0.012590691447257996,3.1846013,36.7166523
13.22,-0.309113085269928,-1.2376208305358887,-0.00576836708933115,3.1845532,36.7166633
13.25,-0.31266510486602783,-1.232248067855835,-0.009148805402219296,3.1845033,36.7166754
