position_start_x,position_start_y,position_end_x,position_end_y,type
3.1843999,36.7159471,3.1843998,36.7158508
attitude,pitch,yaw,roll,lon,lat
9.67,0.004064579028636217,0.23211881518363953,0.0002539370325393975,3.1843999,36.7159471
9.89,0.007128597237169743,0.7306807041168213,0.12960678339004517,3.1844017,36.7159458
9.98,-0.12272987514734268,1.5650413036346436,0.0948815792798996,3.1844099,36.7159397
10.05,-0.23361878097057343,2.300719738006592,-0.042336538434028625,3.1844346,36.7159237
10.1,-0.2464304268360138,2.204129457473755,0.016541432589292526,3.184461,36.7159093
10.15,-0.2729157507419586,2.2252936363220215,-0.004572457633912563,3.1844909,36.7158917
10.22,-0.29129505157470703,2.2271344661712646,5.184208566788584e-05,3.1845423,36.7158608
10.27,-0.3038598299026489,2.224318742752075,0.0007816799916327,3.1845801,36.7158377
10.32,-0.3111160099506378,2.2216856479644775,0.0030919653363525867,3.18462,36.7158133
10.4,-0.30613380670547485,2.220181465148926,0.0005315157468430698,3.1846824,36.7157748
10.45,-0.3180638551712036,2.2251696586608887,-0.0025352826341986656,3.1847248,36.7157488
10.5,-0.31611528992652893,2.222071647644043,0.0029978344682604074,3.1847682,36.7157225
10.55,-0.31760233640670776,2.2236485481262207,-0.0009451074874959886,3.184812,36.7156959
10.59,-0.3215743601322174,2.2189877033233643,0.0012776199728250504,3.1848559,36.715669
10.67,-0.3172115683555603,2.2240188121795654,0.0029594828374683857,3.1849227,36.7156286
10.72,-0.32141610980033875,2.221501350402832,-0.0006254383479245007,3.184967,36.7156015
10.77,-0.3197054862976074,2.218693971633911,0.006246006116271019,3.1850117,36.7155743
10.82,-0.32116755843162537,2.2201180458068848,-0.00227820361033082,3.1850561,36.715547
10.88,-0.32091981172561646,2.2205545902252197,-0.0012707071145996451,3.1851007,36.7155197
10.93,-0.318880558013916,2.218095541000366,-0.004371782299131155,3.1851456,36.7154923
10.98,-0.316331148147583,2.2234885692596436,-0.0004795534478034824,3.1851906,36.7154652
11.04,-0.3154810965061188,2.2191336154937744,-0.0025579500943422318,3.1852353,36.7154381
11.1,-0.3177381753921509,2.2259726524353027,-0.0005338770570233464,3.18528,36.7154113
11.15,-0.3170488774776459,2.2288808822631836,-0.0028150815051048994,3.1853244,36.7153845
11.21,-0.3167096972465515,2.218763828277588,0.0059700715355575085,3.1853687,36.7153578
11.26,-0.3194448947906494,2.225414276123047,-0.0024077061098068953,3.1854126,36.7153307
11.31,-0.31787052750587463,2.221073627471924,-0.002264338778331876,3.1854567,36.7153036
11.37,-0.31622958183288574,2.2205729484558105,0.000871604192070663,3.1855008,36.7152768
11.42,-0.3168589770793915,2.2180237770080566,0.003575141541659832,3.1855448,36.7152498
11.45,-0.31666335463523865,2.217034339904785,0.0028261414263397455,3.1855668,36.7152363
11.5,-0.3142123818397522,2.2223758697509766,-0.0003116577572654933,3.1856107,36.7152093
11.56,-0.31932443380355835,2.2201952934265137,-0.0025421755854040384,3.1856545,36.7151825
11.61,-0.31522196531295776,2.222463607788086,0.002094559371471405,3.1856986,36.7151558
