position_start_x,position_start_y,position_end_x,position_end_y,type
attitude,pitch,yaw,roll,lon,lat
9.66,0.004327613860368729,0.21375852823257446,0.005619385279715061,3.0879794,36.5078387
9.76,0.028320543467998505,0.3946681618690491,0.054576072841882706,3.0879798,36.5078386
9.83,0.00963764637708664,0.8602123260498047,0.15726035833358765,3.0879807,36.5078379
9.93,-0.0836779996752739,1.3553471565246582,0.12767718732357025,3.0879878,36.5078316
9.96,-0.15302787721157074,1.6938151121139526,0.11267566680908203,3.0879935,36.5078268
9.98,-0.22925156354904175,2.209684133529663,0.037630148231983185,3.088001,36.5078208
10.0,-0.2384905219078064,2.3410987854003906,-0.03663907200098038,3.0880211,36.5078053
10.0,-0.2565179169178009,2.3097784519195557,0.0167994387447834,3.0880339,36.5077967
10.0,-0.27111905813217163,2.333627700805664,0.0009686735575087368,3.0880618,36.5077772
10.0,-0.28016114234924316,2.324291944503784,-0.0010559860384091735,3.0880767,36.5077661
10.0,-0.29260632395744324,2.3221304416656494,0.0030217100866138935,3.0881087,36.5077423
9.99,-0.30581581592559814,2.3245961666107178,0.0009340947144664824,3.0881434,36.5077164
9.99,-0.3126183748245239,2.3239479064941406,0.006079251412302256,3.0881801,36.5076889
9.98,-0.31738200783729553,2.3242664337158203,-0.0011610777582973242,3.0882179,36.50766
9.98,-0.3160575032234192,2.325857162475586,0.003048510989174247,3.0882769,36.5076154
9.98,-0.31984198093414307,2.3267159461975098,0.0011408368591219187,3.0883168,36.5075852
9.97,-0.32073983550071716,2.3202271461486816,0.007141113746911287,3.0883774,36.5075395
9.97,-0.3227304518222809,2.319864273071289,-0.0014464159030467272,3.088418,36.5075087
9.97,-0.3192204236984253,2.32489013671875,-0.0016683376161381602,3.0884794,36.5074625
9.97,-0.3192902207374573,2.3226170539855957,0.00026428551063872874,3.0885206,36.5074319
9.97,-0.31649428606033325,2.324993133544922,-0.0038344855420291424,3.0885824,36.5073862
9.97,-0.3175245225429535,2.327092170715332,4.903992885374464e-05,3.0886234,36.507356
9.98,-0.3169878125190735,2.330955982208252,-0.0013087036786600947,3.0886642,36.5073259
9.98,-0.3158716559410095,2.3196215629577637,0.008558091707527637,3.088725,36.5072808
9.98,-0.31629320979118347,2.325416088104248,-0.0011185182956978679,3.0887651,36.5072504
9.99,-0.31496480107307434,2.3216071128845215,0.0049415165558457375,3.0888053,36.5072201
9.99,-0.3164914548397064,2.3195295333862305,0.004860359244048595,3.0888656,36.5071749
9.99,-0.3159870207309723,2.3191089630126953,0.004201987758278847,3.0889057,36.5071445
9.99,-0.3164192736148834,2.324747323989868,-0.0017811756115406752,3.0889455,36.5071142
9.99,-0.31925255060195923,2.318284273147583,0.0038719845470041037,3.0889856,36.5070841
10.0,-0.3187312185764313,2.3286304473876953,0.0006131368572823703,3.0890257,36.507054
10.0,-0.32094821333885193,2.3204851150512695,0.0007467801915481687,3.0890658,36.5070238
10.0,-0.31716111302375793,2.327357769012451,-0.0021898243576288223,3.0891263,36.5069783
10.0,-0.31945106387138367,2.3198649883270264,0.005816365126520395,3.0891668,36.506948
10.01,-0.31971287727355957,2.321643352508545,0.00203481107018888,3.0892071,36.5069175
10.01,-0.3191353976726532,2.328350305557251,-0.002917102538049221,3.0892475,36.5068869
10.01,-0.31674838066101074,2.3194642066955566,-0.0007993519539013505,3.0892881,36.5068564
10.01,-0.31774887442588806,2.318983554840088,0.0034063642378896475,3.0893286,36.5068263
10.01,-0.32009968161582947,2.3198249340057373,0.004028150346130133,3.0893689,36.5067959
10.01,-0.3230397701263428,2.3186728954315186,0.00027006815071217716,3.0894091,36.5067656
10.01,-0.3192596435546875,2.3241350650787354,0.00201415061019361,3.0894496,36.5067352
10.01,-0.31893229484558105,2.3254318237304688,0.0007239981787279248,3.08949,36.5067049
10.01,-0.31960442662239075,2.325174331665039,-0.0008023565751500428,3.0895102,36.5066897
10.0,-0.3184526562690735,2.3217999935150146,0.002163509139791131,3.0895506,36.5066593
10.0,-0.3202038109302521,2.3286914825439453,0.0006402261788025498,3.0895912,36.5066289
10.0,-0.3190681040287018,2.319140911102295,0.0008016572101041675,3.0896316,36.5065984
10.0,-0.3202120363712311,2.3210949897766113,0.001113299047574401,3.0896721,36.5065679
10.0,-0.31915536522865295,2.3257880210876465,0.0019565087277442217,3.0897125,36.5065376
9.99,-0.3200218975543976,2.3253254890441895,0.0005919156828895211,3.0897528,36.5065073
10.0,-0.31977424025535583,2.3184421062469482,0.006295798346400261,3.0897933,36.5064769
10.0,-0.31977173686027527,2.3283579349517822,0.003387385280802846,3.0898135,36.5064617
10.0,-0.32090339064598083,2.318859815597534,0.0061647831462323666,3.0898539,36.5064312
10.0,-0.3199484348297119,2.3275434970855713,0.0020980595145374537,3.0898944,36.5064005
10.0,-0.31737664341926575,2.320321798324585,0.0037289245519787073,3.0899349,36.5063697
10.01,-0.31882989406585693,2.3208093643188477,0.0022851719986647367,3.0899754,36.5063391
10.01,-0.3202703595161438,2.3249268531799316,0.0007313051610253751,3.0900159,36.5063086
10.01,-0.31709176301956177,2.321223020553589,0.002678427379578352,3.0900566,36.506278
10.01,-0.32056039571762085,2.3231160640716553,-0.0018598063616082072,3.0900972,36.5062475
10.01,-0.31685271859169006,2.321279525756836,0.0015332875773310661,3.090138,36.5062171
10.02,-0.317672997713089,2.324781656265259,-0.0006493617547675967,3.0901789,36.506187
10.02,-0.31884652376174927,2.3247320652008057,0.005742689128965139,3.0902199,36.506157
10.02,-0.3196980655193329,2.320119857788086,0.0048784357495605946,3.0902605,36.5061268
10.02,-0.31619176268577576,2.323841094970703,0.008908024989068508,3.0903214,36.5060813
10.02,-0.3198944628238678,2.328129768371582,0.0013178305234760046,3.0903617,36.5060508
10.02,-0.31689557433128357,2.326016902923584,0.005235470365732908,3.090402,36.5060205
10.02,-0.31995344161987305,2.320478916168213,0.008175023831427097,3.0904423,36.50599
10.03,-0.3216506242752075,2.31915020942688,0.006232191808521748,3.0904826,36.5059594
10.03,-0.32059627771377563,2.3251523971557617,0.005904782563447952,3.090523,36.5059288
